asgiref>=3.8.1          # 3.8.1+ supports Python 3.13[4][5]
boto3                   # Use latest (pin it if you have stability needs)[9][10]
botocore                # Use latest
certifi                 # Use latest[11]
chardet                 # Use latest[12]
Django>=4.2             # 4.2 LTS+ for Python 3.13[4][21]
django-admin-honeypot   # Use latest (1.1.0 likely incompatible)[14]
django-admin-thumbnails # Use latest[15]
django-session-timeout  # Use latest
django-storages         # Use latest
idna                    # Use latest
jmespath                # Use latest
Pillow>=11.0.0          # 11.0.0+ needed for Python 3.13
psycopg2-binary         # Use latest
python-dateutil         # Use latest
python-decouple         # Use latest
pytz                    # Use latest
requests                # Use latest
s3transfer              # Use latest
six                     # Use latest
sqlparse                # Use latest
urllib3                 # Use latest
